1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,team
12,17,19,20,20,20,16,15,14,14,14,14,15,12,14,16,17,18,18,18,15,15,16,11,7,8,10,10,10,10,11,12,13,13,13,11,Angers-1617
1,3,9,12,8,7,7,9,9,9,8,12,7,8,9,6,7,7,7,5,5,5,8,7,9,6,6,7,7,7,9,9,9,10,10,8,Bastia-1617
3,1,3,1,1,2,3,8,10,11,11,7,10,11,13,15,16,16,15,11,12,12,14,10,11,9,8,5,5,4,3,4,4,4,3,14,Bordeaux-1617
4,4,10,13,13,14,17,18,16,16,18,15,13,13,10,13,11,9,9,6,6,6,9,9,6,7,9,13,13,13,13,14,14,14,14,16,Caen-1617
5,5,7,9,10,11,8,10,11,12,12,8,5,7,12,14,14,14,14,15,16,16,12,13,13,13,14,14,14,14,14,13,12,12,12,10,Dijon-1617
18,19,6,6,6,5,5,5,3,4,4,5,8,9,7,9,10,11,11,7,7,7,5,8,10,12,12,12,11,11,10,10,10,8,9,7,Guingamp-1617
13,18,16,15,15,15,14,14,15,15,16,17,17,17,16,12,13,13,13,14,14,14,15,15,15,15,17,17,16,16,17,16,16,16,17,12,Lille-1617
14,8,13,16,17,17,18,20,20,20,17,18,18,18,17,18,15,15,16,16,17,18,20,20,20,20,20,20,20,20,20,20,20,20,20,20,Lorient-1617
11,16,5,5,5,4,1,1,2,1,1,1,1,2,3,2,2,2,2,1,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2,Lyon-1617
8,6,11,7,7,6,6,6,4,3,3,4,4,6,6,8,9,10,10,12,9,9,6,5,8,11,7,8,9,9,7,7,7,5,5,6,Marseille-1617
6,14,15,8,9,10,13,16,17,19,20,20,20,20,20,20,20,20,20,20,20,20,19,19,19,19,19,19,19,19,18,18,18,18,18,18,Metz-1617
2,13,17,10,11,8,10,11,12,13,13,9,11,5,5,5,6,6,6,4,4,4,4,4,5,3,3,4,4,6,8,8,8,9,8,5,Monaco-1617
7,2,4,2,2,1,2,7,8,8,9,6,9,10,8,10,5,5,5,9,11,11,13,16,16,16,15,16,17,17,15,15,15,15,16,13,Montpellier-1617
9,15,18,18,19,19,20,19,19,18,15,16,16,16,11,7,8,8,8,10,8,8,10,14,14,14,13,9,8,5,4,5,5,6,6,4,Nancy-1617
15,9,14,17,18,18,19,13,13,10,10,13,14,15,18,19,19,19,19,19,19,19,18,18,18,18,16,15,15,15,16,17,17,17,15,17,Nantes-1617
10,7,12,14,14,12,9,2,1,2,2,2,2,1,1,1,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,Nice-1617
19,12,8,11,12,13,11,3,5,5,5,3,3,3,2,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,5,3,3,3,4,3,Paris SG-1617
16,10,1,4,4,9,12,12,6,6,6,10,6,4,4,4,4,4,4,8,10,10,7,6,4,5,5,6,6,8,6,6,6,7,7,15,Rennes-1617
