2012,2013,2014,2015,institution
1,1,1,1,Harvard University
2,4,3,3,Massachusetts Institute of Technology
3,2,2,2,Stanford University
4,5,4,4,University of Cambridge
5,11,12,12,California Institute of Technology
6,8,9,9,Princeton University
7,3,5,5,University of Oxford
8,10,10,11,Yale University
9,6,6,6,Columbia University
10,7,7,7,"University of California, Berkeley"
11,9,8,8,University of Chicago
12,13,11,10,Cornell University
13,12,14,14,University of Pennsylvania
14,14,13,13,University of Tokyo
15,17,19,16,Johns Hopkins University
16,18,18,20,Swiss Federal Institute of Technology in Zurich
17,15,16,17,Kyoto University
18,33,38,39,Weizmann Institute of Science
19,16,15,15,"University of California, Los Angeles"
20,20,20,21,"University of California, San Diego"
21,49,37,29,Rockefeller University
22,21,22,23,Hebrew University of Jerusalem
23,19,17,18,New York University
24,22,27,26,"University of California, San Francisco"
25,23,25,25,University of Wisconsin–Madison
26,24,28,33,University of Illinois at Urbana–Champaign
27,25,26,28,Duke University
28,27,39,35,Imperial College London
29,46,66,75,University of Texas Southwestern Medical Center
30,26,29,30,University of Texas at Austin
31,30,30,27,University College London
32,35,43,45,Osaka University
33,28,23,22,Northwestern University
34,32,21,19,"University of Michigan, Ann Arbor"
35,29,31,32,University of Toronto
36,34,45,40,University of North Carolina at Chapel Hill
37,63,58,52,Washington University in St. Louis
38,42,62,70,University of Utah
39,31,32,31,University of Washington - Seattle
40,37,60,64,"University of California, Santa Barbara"
41,47,42,42,McGill University
42,38,52,43,"Purdue University, West Lafayette"
43,51,54,61,Carnegie Mellon University
44,39,51,51,University of Southern California
45,53,57,53,"University of California, Davis"
46,41,63,54,University of Colorado Boulder
47,65,80,89,"University of California, Irvine"
48,36,50,58,University of Paris-Sud
49,44,49,48,"University of Minnesota, Twin Cities"
50,78,70,68,University of Arizona
51,66,109,136,Technion – Israel Institute of Technology
52,52,47,49,"Ohio State University, Columbus"
53,76,77,81,University of Rochester
54,64,35,37,École normale supérieure - Paris
55,55,59,60,University of Florida
56,57,86,86,Tel Aviv University
57,94,108,120,Rice University
58,82,44,44,Dartmouth College
59,61,71,69,Vanderbilt University
60,45,56,55,University of Edinburgh
61,86,36,36,École Polytechnique
62,54,67,66,Boston University
63,48,68,63,Pierre-and-Marie-Curie University
64,50,46,47,"Pennsylvania State University, University Park"
65,56,75,92,University of Geneva
66,77,81,83,Brown University
67,58,61,62,University of British Columbia
68,59,76,72,"University of Maryland, College Park"
69,83,93,91,Swiss Federal Institute of Technology in Lausanne
70,60,73,71,Karolinska Institute
71,69,53,46,University of Pittsburgh - Pittsburgh Campus
72,43,33,50,Rutgers University-New Brunswick
73,80,105,102,"Texas A&M University, College Station"
74,91,132,125,Nagoya University
75,40,24,24,Seoul National University
76,72,69,67,University of Manchester
77,62,91,112,Sapienza University of Rome
78,,102,105,Case Western Reserve University
79,95,72,73,Tohoku University
80,73,106,97,Arizona State University
81,93,78,84,Emory University
82,79,89,76,Ruprecht Karl University of Heidelberg
83,67,82,79,Ludwig Maximilian University of Munich
84,71,41,41,University of Virginia
85,,117,108,Leiden University
86,,84,95,Tufts University
87,100,83,80,Georgia Institute of Technology
88,74,85,96,University of Zurich
89,98,110,111,University of Helsinki
90,,99,101,Technical University of Munich
91,81,111,99,University of Oslo
92,,115,103,University of Queensland
93,68,79,74,University of Copenhagen
94,92,95,88,University of Sydney
95,,,,Williams College
96,88,104,90,University of Texas MD Anderson Cancer Center
97,,147,140,University of Nottingham
98,,123,123,University of Bristol
99,84,88,87,Utrecht University
100,,167,104,Mines ParisTech
,70,34,34,Keio University
,75,90,94,King's College London
,85,113,106,Indiana University - Bloomington
,87,74,65,National University of Singapore
,89,126,138,Stony Brook University
,90,48,59,Lomonosov Moscow State University
,96,160,179,Australian National University
,97,103,107,University of Alberta
,99,140,131,Paris Diderot University - Paris 7
,,40,38,Waseda University
,,55,56,Peking University
,,64,77,University of Notre Dame
,,65,57,National Taiwan University
,,87,78,Tsinghua University
,,92,100,Kyushu University
,,94,82,Katholieke Universiteit Leuven
,,96,109,Tokyo Institute of Technology
,,97,93,University of Melbourne
,,98,158,University of Bonn
,,100,126,Royal Institute of Technology
,,101,85,Erasmus University Rotterdam
,,107,98,Yonsei University
,,112,118,Michigan State University
,,114,149,University of the Witwatersrand
,,116,117,Lund University
,,118,113,Georgetown University
,,119,122,Aarhus University
,,120,116,University of Barcelona
,,121,121,Baylor College of Medicine
,,122,114,University of Amsterdam
,,124,124,Uppsala University
,,125,141,University of Iowa
,,127,110,University of Groningen
,,128,144,Korea Advanced Institute of Science and Technology (KAIST)
,,129,134,Radboud University Nijmegen
,,130,115,Korea University
,,131,132,University of São Paulo
,,133,127,University of Colorado Denver
,,134,151,University of Montreal
,,135,155,Albert Ludwig University of Freiburg
,,136,119,Ghent University
,,137,128,University of Glasgow
,,138,137,University of Miami
,,139,163,Université libre de Bruxelles
,,141,150,McMaster University
,,142,152,University of Birmingham
,,143,139,University of Texas at Dallas
,,144,129,VU University Amsterdam
,,145,159,Wake Forest University
,,146,148,University of Southampton
,,148,135,Nanyang Technological University
,,149,130,University of New South Wales
,,150,474,Osaka City University
,,151,161,University of Leeds
,,152,133,Western University (The University of Western Ontario)
,,153,320,Kobe University
,,154,160,University of Basel
,,155,170,University of Hong Kong
,,156,164,Indiana University-Purdue University Indianapolis
,,157,153,Humboldt University of Berlin
,,158,147,Free University of Berlin
,,159,156,University of Tübingen
,,161,176,Goethe University Frankfurt
,,162,184,University of Houston
,,163,154,"University of California, Santa Cruz"
,,164,146,University of Alabama at Birmingham
,,165,143,Icahn School of Medicine at Mount Sinai
,,166,167,University of Calgary
,,168,237,University of Gothenburg
,,169,177,University of Göttingen
,,170,145,Monash University
,,171,142,Southern Methodist University
,,172,171,Yeshiva University
,,173,190,University of South Florida - Tampa
,,174,192,Hanyang University
,,175,166,Oregon Health & Science University
,,176,182,University of Strasbourg
,,177,157,University of Cincinnati
,,178,173,University of Sheffield
,,179,162,University of Hamburg
,,180,202,George Washington University
,,181,172,University of Milan
,,182,187,Iowa State University
,,183,175,"University of Maryland, Baltimore"
,,184,169,University of Padua
,,185,181,University of New Mexico
,,186,165,Pohang University of Science and Technology
,,187,168,Stockholm University
,,188,178,Hokkaido University
,,189,195,Fudan University
,,190,253,University of Sussex
,,191,231,Université catholique de Louvain
,,192,189,Wayne State University
,,193,183,University of Massachusetts Medical School
,,194,186,University of Lausanne
,,195,180,Shanghai Jiao Tong University
,,196,194,University of Missouri–Columbia
,,197,174,Technical University of Denmark
,,198,228,Complutense University of Madrid
,,199,197,University of Cologne
,,200,185,"Trinity College, Dublin"
,,201,200,University of Bern
,,202,220,Chinese University of Hong Kong
,,203,196,University of Kansas
,,204,211,Sungkyunkwan University
,,205,223,University of Vienna
,,206,191,Zhejiang University
,,207,198,University of Georgia
,,208,219,University of Massachusetts Amherst
,,209,201,Cardiff University
,,210,205,University of Münster
,,211,199,University of Liverpool
,,212,193,University of Ottawa
,,213,204,University of Erlangen-Nuremberg
,,214,209,Queen Mary University of London
,,215,213,Karlsruhe Institute of Technology
,,216,332,Louisiana State University - Baton Rouge
,,217,244,Nanjing University
,,218,203,University of Illinois at Chicago
,,219,208,University of Bologna
,,220,222,University of Manitoba
,,221,188,Joseph Fourier University
,,222,214,"University of California, Riverside"
,,223,235,Julius-Maximilian's University of Würzburg
,,224,206,Aix-Marseille University
,,225,216,University of Western Australia
,,226,229,Laval University
,,227,227,"University of Tennessee, Knoxville"
,,228,232,North Carolina State University
,,229,212,Newcastle University
,,230,207,Claude Bernard University Lyon 1
,,231,221,University of Turin
,,232,215,University of Kiel
,,233,218,University of Connecticut
,,234,272,Tulane University
,,235,350,University of Oklahoma - Norman Campus
,,236,274,Brandeis University
,,237,210,Dresden University of Technology
,,238,230,RWTH Aachen University
,,239,234,University of Texas Health Science Center at San Antonio
,,240,259,Virginia Commonwealth University
,,241,,University of Montpellier 2
,,242,305,Dalian University of Technology
,,243,282,Rensselaer Polytechnic Institute
,,244,236,Paul Sabatier University - Toulouse III
,,245,217,Paris Descartes University
,,246,226,National Cheng Kung University
,,247,281,University of Delaware
,,248,280,Vrije Universiteit Brussel
,,249,233,Johannes Gutenberg University of Mainz
,,250,225,Maastricht University
,,251,251,University of Düsseldorf
,,252,242,University of Dundee
,,253,262,University of Tsukuba
,,254,241,Autonomous University of Barcelona
,,255,252,Florida State University
,,256,291,University of Texas at San Antonio
,,257,246,London School of Hygiene & Tropical Medicine
,,258,264,Lehigh University
,,259,267,University of Kentucky
,,260,254,Thomas Jefferson University
,,261,258,Drexel University
,,262,271,Colorado State University - Fort Collins
,,263,240,University of Leicester
,,264,261,Durham University
,,265,260,Oregon State University
,,266,247,University of Florence
,,267,248,University of Cape Town
,,268,273,"University at Buffalo, The State University of New York"
,,269,238,University College Dublin
,,270,239,University of Science and Technology of China
,,271,256,Virginia Polytechnic Institute and State University
,,272,268,University of Naples Federico II
,,273,266,University of Auckland
,,274,249,University of Texas Health Science Center at Houston
,,275,255,Delft University of Technology
,,276,285,University of Aberdeen
,,277,284,Queen's University
,,278,257,University of Lisbon
,,279,290,Hiroshima University
,,280,269,University of Waterloo
,,281,245,Okayama University
,,282,278,University of Ulm
,,283,311,Chulalongkorn University
,,284,286,Dalhousie University
,,285,406,Saint Petersburg State University
,,286,243,Norwegian University of Science and Technology
,,287,263,University of Reading
,,288,276,Wageningen University and Research Centre
,,289,287,Umeå University
,,290,308,University of Porto
,,291,319,Hong Kong University of Science and Technology
,,292,277,Sun Yat-sen University
,,293,297,Medical College of Wisconsin
,,294,289,City College of New York
,,295,292,Hannover Medical School
,,296,380,"Washington State University, Pullman"
,,297,345,Technical University of Berlin
,,298,300,University of South Carolina - Columbia
,,299,302,Leipzig University
,,300,316,University of Stuttgart
,,301,294,University of Valencia
,,302,355,Linköping University
,,303,288,University of Duisburg-Essen
,,304,296,Ruhr University Bochum
,,305,283,University of Bergen
,,306,279,London School of Economics
,,307,351,Wesleyan University
,,308,295,University of Pisa
,,309,304,Autonomous University of Madrid
,,310,265,Medical University of Vienna
,,311,306,Stellenbosch University
,,312,303,Medical University of South Carolina
,,313,270,Charles University in Prague
,,314,307,Kyungpook National University
,,315,482,"University of Science, Malaysia"
,,316,321,University of Liège
,,317,506,University of Hull
